detectedDuplicate	detectedCorruption	firstInSession	timestamp	clientTimestamp	remoteHost	referer	location	partyId	sessionId	pageViewId	eventType	basket_price	item_id	item_price	item_url	date
0	0	0	1543177358887	1543177358305	10.132.0.3	https://b24-k385cr.bitrix24.shop/oformleniezakaza/	https://b24-k385cr.bitrix24.shop/oformleniezakaza/?ORDER_ID=2018%2F11%2F25%2F31_2	0:jn4zrt3e:2FsJGWxZ4J9gks9yAdtdi4n9GeBQh7Qb	0:jox97eh8:lAFxwdVztKaxfXucuoqR~vw1hvoevll4	0:L_glin_5LAEbZh8OWPpS6CwfpEoiOqlV	pageView					2018-11-25
0	0	0	1543176245415	1543176244832	10.132.0.3	https://b24-k385cr.bitrix24.shop/oformleniezakaza/	https://b24-k385cr.bitrix24.shop/oformleniezakaza/?ORDER_ID=2018%2F11%2F25%2F25_3	0:jn4zrt3e:2FsJGWxZ4J9gks9yAdtdi4n9GeBQh7Qb	0:jox97eh8:lAFxwdVztKaxfXucuoqR~vw1hvoevll4	0:GK50F1Dm_mOSwu4wLtxLEtT32~hv2B~D	pageView					2018-11-25
0	0	0	1543176707623	1543176707013	10.132.0.3		https://b24-k385cr.bitrix24.shop/	0:jn4zrt3e:2FsJGWxZ4J9gks9yAdtdi4n9GeBQh7Qb	0:jox97eh8:lAFxwdVztKaxfXucuoqR~vw1hvoevll4	0:Sz~jfr0dIogj1QjtsZVFRIjsu0FqJXBT	pageView					2018-11-25
0	0	0	1543176368925	1543176368333	10.132.0.3		https://b24-k385cr.bitrix24.shop/#block187	0:jn4zrt3e:2FsJGWxZ4J9gks9yAdtdi4n9GeBQh7Qb	0:jox97eh8:lAFxwdVztKaxfXucuoqR~vw1hvoevll4	0:VLyheeOAlxZjIUb_OgOVyaC7CAjL8Q~I	itemBuyEvent		bx_40480796_27_7336ecc1cc9fc29bbd635a38db819ae7	899		2018-11-25
0	0	0	1543176335384	1543176334779	10.132.0.3		https://b24-k385cr.bitrix24.shop/	0:jn4zrt3e:2FsJGWxZ4J9gks9yAdtdi4n9GeBQh7Qb	0:jox97eh8:lAFxwdVztKaxfXucuoqR~vw1hvoevll4	0:VLyheeOAlxZjIUb_OgOVyaC7CAjL8Q~I	pageView					2018-11-25
0	0	0	1543176214030	1543176213760	10.132.0.3	https://b24-k385cr.bitrix24.shop/	https://b24-k385cr.bitrix24.shop/oformleniezakaza/	0:jn4zrt3e:2FsJGWxZ4J9gks9yAdtdi4n9GeBQh7Qb	0:jox97eh8:lAFxwdVztKaxfXucuoqR~vw1hvoevll4	0:VUbcign6IQ7TP9X5txuTmiZyGwfnISOX	pageView					2018-11-25
0	0	0	1543176392287	1543176391692	10.132.0.3	https://b24-k385cr.bitrix24.shop/oformleniezakaza/	https://b24-k385cr.bitrix24.shop/oformleniezakaza/?ORDER_ID=2018%2F11%2F25%2F13_10	0:jn4zrt3e:2FsJGWxZ4J9gks9yAdtdi4n9GeBQh7Qb	0:jox97eh8:lAFxwdVztKaxfXucuoqR~vw1hvoevll4	0:ebR~vblRDJ3tVl0r0pAhkFVA5il_otcH	pageView					2018-11-25
0	0	0	1543176416736	1543176416486	10.132.0.3		https://b24-k385cr.bitrix24.shop/#block187	0:jn4zrt3e:2FsJGWxZ4J9gks9yAdtdi4n9GeBQh7Qb	0:jox97eh8:lAFxwdVztKaxfXucuoqR~vw1hvoevll4	0:hZtL1a6UeRo2ZMRHRRwFwhR9ilWbzLV2	itemBuyEvent		bx_40480796_1_f342bcc33e6b8f41085bb8fa088a5e19	2999		2018-11-25
0	0	0	1543176411765	1543176411517	10.132.0.3		https://b24-k385cr.bitrix24.shop/#block187	0:jn4zrt3e:2FsJGWxZ4J9gks9yAdtdi4n9GeBQh7Qb	0:jox97eh8:lAFxwdVztKaxfXucuoqR~vw1hvoevll4	0:hZtL1a6UeRo2ZMRHRRwFwhR9ilWbzLV2	itemViewEvent		bx_40480796_13_cdd13bd5ae7b0c257424b2a019fe9c7f	980		2018-11-25
0	0	0	1543176413302	1543176413052	10.132.0.3		https://b24-k385cr.bitrix24.shop/#block187	0:jn4zrt3e:2FsJGWxZ4J9gks9yAdtdi4n9GeBQh7Qb	0:jox97eh8:lAFxwdVztKaxfXucuoqR~vw1hvoevll4	0:hZtL1a6UeRo2ZMRHRRwFwhR9ilWbzLV2	itemViewEvent		bx_40480796_1_f342bcc33e6b8f41085bb8fa088a5e19	2999		2018-11-25
